"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Май '22","351,80","331,50","350,00","330,00","0,01K","5,80%"
"Апр. '22","332,50","302,00","332,50","300,00","0,04K","8,13%"
"Март '22","307,50","292,00","318,00","292,00","0,81K","22,73%"
"Февр. '22","250,55","216,05","216,05","216,05","-","16,67%"
"Янв. '22","214,75","219,75","219,75","219,75","-","-2,50%"
"Дек. '21","220,25","224,55","224,55","224,55","-","-1,91%"
"Нояб. '21","224,55","214,00","238,75","214,00","0,08K","4,95%"
"Окт. '21","213,95","200,60","214,00","199,00","2,42K","6,66%"
"Сент. '21","200,60","195,00","203,00","181,65","4,22K","3,27%"
"Авг. '21","194,25","184,00","199,20","182,50","7,07K","6,44%"
"Июль '21","182,50","187,00","187,00","164,00","3,22K","-3,95%"
"Июнь '21","190,00","203,00","203,00","187,50","0,09K","-2,56%"
"Май '21","195,00","206,50","215,00","191,95","1,28K","-4,65%"
"Апр. '21","204,50","192,05","212,00","188,25","2,26K","5,41%"
"Март '21","194,00","204,00","204,00","188,00","0,59K","-6,46%"
"Февр. '21","207,40","205,00","207,50","203,00","0,16K","-0,10%"
"Янв. '21","207,60","204,00","207,50","204,00","0,04K","4,58%"
"Дек. '20","198,50","190,00","198,00","190,00","0,05K","3,25%"
"Нояб. '20","192,25","190,00","193,50","188,00","0,11K","2,23%"
"Окт. '20","188,05","184,50","190,00","180,00","2,23K","2,37%"
"Сент. '20","183,70","169,00","184,50","167,75","6,45K","8,70%"
"Авг. '20","169,00","164,50","169,50","161,00","3,61K","1,90%"
"Июль '20","165,85","168,00","171,00","164,00","2,45K","3,04%"
"Июнь '20","160,95","162,75","162,75","157,00","0,01K","-1,62%"
"Май '20","163,60","151,00","161,50","150,00","0,12K","7,99%"
"Апр. '20","151,50","158,00","160,00","148,50","1,93K","-3,96%"
"Март '20","157,75","165,00","165,90","156,40","0,95K","7,68%"
"Февр. '20","146,50","151,00","151,00","151,00","0,01K","-2,04%"
"Янв. '20","149,55","146,50","154,70","146,50","0,14K","2,08%"
"Дек. '19","146,50","142,00","147,00","141,00","0,06K","1,84%"
"Нояб. '19","143,85","145,50","145,50","143,00","0,03K","3,41%"
"Окт. '19","139,10","140,00","140,50","133,50","3,31K","0,07%"
"Сент. '19","139,00","131,00","140,35","129,30","3,99K","5,70%"
"Авг. '19","131,50","147,00","147,25","130,50","5,94K","-10,70%"
"Июль '19","147,25","148,60","149,75","143,35","4,34K","0,37%"
"Июнь '19","146,70","156,00","156,00","148,00","0,03K","-5,60%"
"Май '19","155,40","161,00","161,00","153,50","0,13K","-3,60%"
"Апр. '19","161,20","163,25","167,70","160,85","2,48K","-1,41%"
"Март '19","163,50","164,55","165,05","163,25","0,90K","1,30%"
"Февр. '19","161,40","170,00","170,00","170,00","0,01K","-4,69%"
"Янв. '19","169,35","174,00","174,00","173,00","0,05K","-1,88%"
"Дек. '18","172,60","172,60","172,60","172,60","-","1,68%"
"Нояб. '18","169,75","171,00","171,50","167,00","0,54K","-0,73%"
"Окт. '18","171,00","176,00","180,00","169,50","2,32K","-2,92%"
"Сент. '18","176,15","183,00","183,00","170,90","4,20K","-3,29%"
"Авг. '18","182,15","188,00","195,50","176,00","9,14K","-2,25%"
"Июль '18","186,35","150,65","190,20","150,65","4,77K","24,65%"
"Июнь '18","149,50","155,00","157,00","146,00","0,31K","-4,47%"
"Май '18","156,50","144,00","156,50","142,50","0,21K","9,06%"
"Апр. '18","143,50","142,25","148,25","142,25","2,68K","0,35%"
"Март '18","143,00","143,00","143,00","140,05","0,27K","2,73%"
"Февр. '18","139,20","136,00","138,00","135,40","0,02K","1,68%"
"Янв. '18","136,90","136,60","139,55","135,75","0,11K","0,48%"
"Дек. '17","136,25","139,00","139,00","137,50","0,09K","-1,48%"
"Нояб. '17","138,30","140,00","140,00","136,05","0,05K","0,73%"
"Окт. '17","137,30","142,50","145,00","138,00","3,35K","-3,41%"
"Сент. '17","142,15","142,00","143,00","138,50","2,62K","0,99%"
"Авг. '17","140,75","146,65","146,65","136,55","4,82K","-3,86%"
"Июль '17","146,40","152,00","154,75","145,00","3,34K","0,51%"
"Июнь '17","145,65","141,00","146,50","140,00","0,11K","2,64%"
"Май '17","141,90","150,00","150,25","143,40","0,43K","-4,51%"
"Апр. '17","148,60","147,10","149,50","145,50","2,62K","1,09%"
"Март '17","147,00","146,00","149,00","146,00","1,22K","1,91%"
"Февр. '17","144,25","147,00","147,50","144,00","0,24K","-1,90%"
"Янв. '17","147,05","145,50","145,50","145,45","0,02K","5,87%"
"Дек. '16","138,90","136,50","139,00","133,00","0,14K","0,65%"
"Нояб. '16","138,00","139,50","140,05","135,00","0,20K","-1,43%"
"Окт. '16","140,00","127,50","140,50","127,25","4,00K","10,19%"
"Сент. '16","127,05","123,60","127,25","119,25","4,00K","3,33%"
